ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
430.0,MERCEDES-BENZ,SL 63 AMG,SL 63 AMG,SL 63 AMG,MERCEDES-BENZ SL 63 AMG,grün mét.,Cabriolet,6209,Zuzwil,328 g/km,Occasion,G,14.1 l/100km,2,Hinterradantrieb,1,2009,Benzin,525,schwarz,84000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
436.0,MASERATI,QUATTROPORTE,Quattroporte 4.2 Exec. GT,Quattroporte 4.2 Exec. GT,MASERATI Quattroporte 4.2 Exec. GT,orange,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,3,2006,Benzin,400,beige,33600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
465.0,FERRARI,F430,F430,F430,FERRARI F430,rot,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,486,beige,45000,"\"Ab MFK\"",2,Automatik-Getriebe
573.0,MERCEDES-BENZ,B 200,B 200 T Sailing Edition,B 200 T Sailing Edition,MERCEDES-BENZ B 200 T Sailing Edition,schwarz,Kompaktvan / Minivan,2035,Zuzwil,195 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,8,2006,Benzin,193,null,60500,"\"Ab MFK\"",5,Schaltgetriebe manuell
584.0,MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,schwarz,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,70700,"\"Ab MFK\"",5,Automat
589.0,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,schwarz,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,schwarz,134000,"\"Ab MFK\"",4,Schaltgetriebe manuell
601.0,ASTON MARTIN,V8 Vantage,V8 Vantage 4.3,V8 Vantage 4.3,ASTON MARTIN V8 Vantage 4.3,schwarz,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,7,2007,Benzin,385,schwarz,28800,"\"Ab MFK\"",2,Schaltgetriebe manuell
654.0,JEEP,Grand Cherokee,Grand Cherokee 5.2 Ltd.,Grand Cherokee 5.2 Ltd.,JEEP Grand Cherokee 5.2 Ltd.,schwarz mét.,SUV / Geländewagen,5216,Zuzwil,380 g/km,Occasion,null,16.5 l/100km,5,Allrad,6,1997,Benzin,212,schwarz,61000,"\"Ab MFK\"",5,Automat
659.0,MERCEDES-BENZ,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,schwarz mét.,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,5,2003,Benzin,500,beige,13900,"\"Ab MFK\"",2,Automat
718.0,FERRARI,456,456 GTA,456 GTA,FERRARI 456 GTA,schwarz mét.,Coupé,5474,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1996,Benzin,442,rot,52800,"\"Ab MFK\"",4,Automat
773.0,RENAULT,ALPINE,Alpine A310 V6,Alpine A310 V6,RENAULT Alpine A310 V6,schwarz mét.,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1983,Benzin,150,mehrfarbig,111990,"\"Ab MFK\"",4,Schaltgetriebe manuell
777.0,BMW,M5,M5,M5,BMW M5,schwarz mét.,Limousine,4395,Zuzwil,232 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,3,2013,Benzin,560,braun,4600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
817.0,PORSCHE,911,911 GT3 CUP,GT3 CUP,PORSCHE 911 GT3 CUP,schwarz mét.,Coupé,3600,Zuzwil,null,Occasion,null,null,2,null,5,2000,Benzin,370,null,7000,"\"Ab MFK\", \"Tuning\"",0,Schaltgetriebe
830.0,SMART,FORTWO,Fortwo passion,Fortwo passion,SMART Fortwo passion,schwarz mét.,Cabriolet,698,Zuzwil,127 g/km,Occasion,F,5.3 l/100km,3,Hinterradantrieb,7,2003,Benzin,61,schwarz,165000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
882.0,MERCEDES-BENZ,S 65 AMG,S 65 AMG L,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,silber mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2008,Benzin,612,schwarz,56200,"\"Ab MFK\"",5,Automat sequentiell
950.0,AUDI,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,silber mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2010,Benzin,580,schwarz,26300,"\"Ab MFK\"",5,Automat
1112.0,BENTLEY,ARNAGE,ARNAGE Red Label,Red Label,BENTLEY ARNAGE Red Label,weiss,Limousine,6750,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,10,2000,Benzin,405,beige,85700,"\"Ab MFK\"",5,Automatik-Getriebe
1115.0,MERCEDES-BENZ,CLS 500,CLS 500,CLS 500,MERCEDES-BENZ CLS 500,weiss,Kombi,4663,Zuzwil,214 g/km,Occasion,G,9.2 l/100km,5,Hinterradantrieb,5,2013,Benzin,408,schwarz,10400,"\"Ab MFK\"",5,Automat sequentiell
1149.0,MERCEDES-BENZ,S 65 AMG,S 65 AMG L,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,weiss mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,3,2007,Benzin,612,schwarz,102000,"\"Ab MFK\"",5,Automat sequentiell
221.0,PORSCHE,911,911 Targa,Targa,PORSCHE 911 Targa,gelb,Cabriolet,2687,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,11,1971,Benzin,150,schwarz,96000,"\"Ab MFK\"",2,Schaltgetriebe manuell
236.0,RUF,"",CTR,CTR,RUF CTR,gold mét.,Coupé,3400,Zuzwil,null,Occasion,null,null,2,null,1,1990,Benzin,469,blau,46000,"\"Ab MFK\"",2,null
257.0,RENAULT,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,grau,Kleinwagen,1397,Zuzwil,null,Oldtimer,null,null,3,Vorderradantrieb,7,1982,Benzin,108,beige,124500,"\"Ab MFK\"",4,Schaltgetriebe manuell
