carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,Beige,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,19100,"",CLS 63 AMG,CLS 63 AMG,"","","",12,l_km_consumption
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2005,22100,"",SL 65 AMG,SL 65 AMG,"","","",5,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Audi,1999,69900,"",A8,A8 4.2 quattro,"","","",1,l_km_consumption
Limousine,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1977,78000,"","",1000 / Publica,"","","",5,null
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2007,33000,"",MURCIÉLAGO,Murciélago LP640-4 Cpé,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Aston Martin,2006,92500,"",V8 Vantage,V8 Vantage 4.3,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1994,41700,"",911,911 Turbo,"","","",4,null
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2008,35500,"",911,911 Turbo Cabrio,"","","",4,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lamborghini,1993,26800,"",DIABLO,Diablo 5.7,"","","",3,null
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2013,6000,"",RS6,RS6 Avant 4.0 TFSI V8 qu,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Porsche,2001,16300,"",911,GTR (GT3),"","","",4,null
Cabriolet,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2012,66800,"",M6,M6,"","","",6,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Sursee,"",Ford (usa),1968,1000,"",MUSTANG,null,"","","",3,null
Cabriolet,Silver,Oldtimer,"",Schaltgetriebe manuell,Safenwil,"",Triumph,1957,98320,"",TR3,null,"","","",1,null
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1995,127850,"",911,911 Turbo,"","","",4,l_km_consumption
Cabriolet,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Sursee,"",Lamborghini,2014,150,"",AVENTADOR,Aventador LP700-4 Rds,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Bentley,2000,19300,"",ARNAGE,Arnage Red Label,"","","",5,l_km_consumption
Cabriolet,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2011,14000,"",911,911 Turbo S Cabrio,"","","",7,l_km_consumption
Coupé,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2000,36000,"",456,456M GT,"","","",3,l_km_consumption
SUV / Geländewagen,Other,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2002,26500,"",X5,X5 4.6is,"","","",11,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,86900,"",E 55 AMG,E 55 AMG Avantgarde,"","","",2,l_km_consumption
Limousine,Blue,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Renault,1976,59800,"",ALPINE,A310 1600 VG,"","","",6,null
Kombi,Purple,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,1999,171700,"",A6,A6 Avant 2.7 T q.Ambiente,"","","",9,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2002,16600,"",F360,F360 Spider,"","","",9,l_km_consumption
Cabriolet,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2003,50300,"",SPYDER GT,Spyder GT,"","","",6,l_km_consumption
Limousine,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,95400,"",CLS 500,CLS 500,"","","",1,l_km_consumption
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2010,67800,"",530 Gran Turismo,530d GT,"","","",1,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,47300,"",SL 500,SL 500,"","","",2,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Peugeot,2003,72600,"",406,406 Coupé 3.0 V6 Pack,"","","",10,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2005,49800,"",MURCIÉLAGO,Murciélago 6.2 Coupé,"","","",7,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Aston Martin,2007,35500,"",V8 Vantage,V8 Vantage 4.3,"","","",2,l_km_consumption
